Ntree,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9,Fold10,Mean
5,0.7962962962962963,0.7692307692307692,0.826923076923077,0.7777777777777777,0.7647058823529411,0.822429906542056,0.6736842105263158,0.7628865979381443,0.7663551401869159,0.7450980392156863,0.770538769698998
10,0.7927927927927928,0.7358490566037736,0.8000000000000002,0.7850467289719626,0.76,0.7610619469026547,0.7962962962962963,0.7722772277227723,0.7889908256880733,0.7755102040816326,0.7767825079059959
15,0.7676767676767676,0.803921568627451,0.7592592592592593,0.7850467289719626,0.7346938775510204,0.830188679245283,0.7474747474747474,0.7777777777777777,0.819047619047619,0.7428571428571428,0.776794416848903
20,0.7636363636363636,0.826923076923077,0.7777777777777777,0.7884615384615384,0.7889908256880733,0.796116504854369,0.7572815533980584,0.7500000000000001,0.7777777777777777,0.7474747474747474,0.7774440165991783
25,0.8148148148148148,0.796116504854369,0.74,0.780952380952381,0.7735849056603773,0.6451612903225806,0.816326530612245,0.8037383177570094,0.7889908256880733,0.7307692307692308,0.7690454801431081
30,0.7500000000000001,0.7692307692307692,0.8181818181818182,0.7692307692307692,0.7647058823529411,0.8000000000000002,0.796116504854369,0.8256880733944953,0.822429906542056,0.6666666666666666,0.7782250390453885
35,0.7692307692307692,0.826923076923077,0.7450980392156863,0.7238095238095238,0.8148148148148148,0.7647058823529411,0.780952380952381,0.7216494845360825,0.7924528301886793,0.8000000000000002,0.7739636802023955
40,0.8076923076923077,0.7777777777777777,0.8000000000000002,0.8000000000000002,0.7524752475247525,0.8118811881188118,0.7307692307692308,0.743362831858407,0.8155339805825242,0.7636363636363636,0.7803128927960176
45,0.7850467289719626,0.7378640776699028,0.780952380952381,0.8155339805825242,0.7692307692307692,0.780952380952381,0.7692307692307692,0.803921568627451,0.7058823529411765,0.8000000000000002,0.7748615009159316
50,0.7722772277227723,0.7234042553191491,0.7777777777777777,0.8000000000000002,0.7115384615384615,0.7407407407407408,0.7884615384615384,0.8490566037735849,0.7454545454545455,0.7572815533980584,0.7665992704186628
55,0.7254901960784313,0.7735849056603773,0.7924528301886793,0.7692307692307692,0.7142857142857142,0.72,0.7735849056603773,0.7735849056603773,0.803921568627451,0.8440366972477064,0.7690172492639883
60,0.7884615384615384,0.7254901960784313,0.7407407407407408,0.7884615384615384,0.7722772277227723,0.7647058823529411,0.7924528301886793,0.7647058823529411,0.8484848484848485,0.8118811881188118,0.7797661872963244
65,0.7378640776699028,0.7889908256880733,0.803921568627451,0.7272727272727272,0.7766990291262137,0.8148148148148148,0.851851851851852,0.7722772277227723,0.7735849056603773,0.7222222222222223,0.7769499250656406
70,0.8363636363636363,0.7572815533980584,0.7358490566037736,0.7142857142857142,0.8076923076923077,0.7578947368421052,0.6990291262135921,0.7787610619469026,0.7592592592592593,0.7722772277227723,0.7618693680328121
75,0.7378640776699028,0.7476635514018691,0.7216494845360825,0.7254901960784313,0.7184466019417476,0.8181818181818182,0.8000000000000002,0.7572815533980584,0.78,0.88,0.768657728320791
80,0.7254901960784313,0.8623853211009174,0.8256880733944953,0.74,0.8380952380952381,0.8113207547169812,0.7450980392156863,0.7777777777777777,0.7378640776699028,0.796116504854369,0.78598359829038
85,0.7522935779816514,0.7578947368421052,0.712871287128713,0.7722772277227723,0.8108108108108109,0.7835051546391754,0.7387387387387387,0.7663551401869159,0.7835051546391754,0.822429906542056,0.7700681735232116
90,0.7850467289719626,0.8349514563106797,0.8333333333333334,0.7169811320754718,0.7307692307692308,0.8076923076923077,0.796116504854369,0.8073394495412843,0.7722772277227723,0.72,0.780450737127141
95,0.7884615384615384,0.7474747474747474,0.8333333333333334,0.7678571428571428,0.7450980392156863,0.761904761904762,0.7735849056603773,0.7924528301886793,0.7647058823529411,0.780952380952381,0.7755825562401589
100,0.7307692307692308,0.8073394495412843,0.780952380952381,0.780952380952381,0.7289719626168225,0.8155339805825242,0.761904761904762,0.7722772277227723,0.7722772277227723,0.76,0.771097860276493
